,security_id,date,close,adjusted_price
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-11-24,26.3200,26.3200
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-11-25,26.6700,26.6700
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-11-26,26.6700,26.6700
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-11-27,26.6700,26.6700
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-11-28,26.7300,26.7300
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-11-29,25.6400,25.6400
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-11-30,24.1500,24.1500
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-12-01,24.1300,24.1300
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-12-02,24.3500,24.3500
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-12-03,24.3500,24.3500
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-12-04,24.3500,24.3500
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-12-05,25.6600,25.6600
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-12-06,27.4800,27.4800
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-12-07,28.7300,28.7300
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-12-08,29.5700,29.5700
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-12-09,29.4200,29.4200
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-12-10,29.4200,29.4200
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-12-11,29.4200,29.4200
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-12-12,28.0800,28.0800
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-12-13,26.9200,26.9200
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-12-14,25.8800,25.8800
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-12-15,26.8700,26.8700
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-12-16,27.8500,27.8500
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-12-17,27.8500,27.8500
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-12-18,27.8500,27.8500
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-12-19,26.9200,26.9200
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-12-20,26.8400,26.8400
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-12-21,25.4700,25.4700
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-12-22,25.7800,25.7800
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-12-23,24.4700,24.4700
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-12-24,24.4700,24.4700
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-12-25,24.4700,24.4700
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-12-26,24.4700,24.4700
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-12-27,24.2600,24.2600
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-12-28,24.9000,24.9000
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-12-29,25.0400,25.0400
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-12-30,23.8500,23.8500
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-12-31,23.8500,23.8500
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-01-01,23.8500,23.8500
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-01-02,23.8500,23.8500
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-01-03,25.4400,25.4400
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-01-04,27.7800,27.7800
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-01-05,27.4100,27.4100
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-01-06,27.3200,27.3200
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-01-07,27.3200,27.3200
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-01-08,27.3200,27.3200
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-01-09,26.4500,26.4500
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-01-10,26.4500,26.4500
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-01-11,24.8400,24.8400
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-01-12,24.4900,24.4900
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-01-13,23.5200,23.5200
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-01-14,23.5200,23.5200
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-01-15,23.5200,23.5200
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-01-16,23.5200,23.5200
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-01-17,23.0500,23.0500
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-01-18,23.8900,23.8900
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-01-19,23.1800,23.1800
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-01-20,22.6100,22.6100
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-01-21,22.6100,22.6100
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-01-22,22.6100,22.6100
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-01-23,22.5900,22.5900
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-01-24,23.3600,23.3600
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-01-25,23.2900,23.2900
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-01-26,22.9900,22.9900
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-01-27,23.9300,23.9300
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-01-28,23.9300,23.9300
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-01-29,23.9300,23.9300
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-01-30,24.8500,24.8500
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-01-31,23.9800,23.9800
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-02-01,25.3000,25.3000
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-02-02,25.8900,25.8900
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-02-03,27.5400,27.5400
